Boat,Class,Name
D,SC,Mrs. Edwy Arthur (Ada Mary) West
D,SC,Mrs. Elizabeth Anne Wilkinson (Mrs. Lizzie Faunthorpe)
D,SC,Mrs. Encarnacion Reynaldo
D,SC,Mrs. Florence Fannie Kelly
D,SC,Mrs. Kate Louise Phillips Marshall
D,SC,Mrs. Leopold (Mathilda) Weisz
D,SC,Mrs. Nicholas (Adele) Nasser or Nasrallah
D,SC,Mrs. Peter Henry (Lillian Jeffreys) Renouf
D,SC,Mrs. Sebastian (Argenia Genovese) Del Carlo
D,SC,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn
D,SC,Mrs. Sinai (Miriam Sternim) Kantor
D,SC,Mrs. Stephen (Annie Margaret) Hold
D,SC,Mrs. William (Anna) Hamalainen
D,SC,Mrs. William A. (Florence) Angle
D,SC,Miss Lyyli Silven
D,SC,Mrs. James Vivian (Lulu Thorne Christian) Drew
D,SC,Mrs. Joseph (Juliette) LaRouche
D,TC,Master George Moubarek
D,TC,Master Meyer Moor
D,TC,Master Michael J. Peter or Joseph
D,TC,Master William George Moubarek
D,TC,Miss Adele Kiamie Najib
D,TC,Miss Agnes McCoy
D,TC,Miss Alice McCoy
D,TC,Miss Anna Karun
D,TC,Miss Anna Nysten
D,TC,Miss Anna Salkjelsvik
D,TC,Miss Anna Sofia Sjoblom
D,TC,Miss Anna Sofia Turja
D,TC,Miss Annie Jermyn
D,TC,Miss Annie Kate Kelly
D,TC,Miss Annie McGowan
D,TC,Miss Ayout Banoura
D,TC,Miss Berta Olivia Nilsson
D,TC,Miss Bertha E. Mulvihill
D,TC,Miss Bertha Moran
D,TC,Miss Bridget Driscoll
D,TC,Miss Delia McDermott
D,TC,Miss Ellen Shine
D,TC,Miss Eluna Honkanen
D,TC,Miss Emily Louisa Badman
D,TC,Miss Eugenie Baclini
D,TC,Miss Helen Carr
D,TC,Miss Helen Mary Mocklare
D,TC,Miss Helene Baclini
D,TC,Miss Hilder E. Hirvonen
D,TC,Miss Jennie Drapkin
D,TC,Miss Kate Connolly
D,TC,Miss Katherine Murphy
D,TC,Miss Katie Gilnagh
D,TC,Miss Katie McCarthy
D,TC,Miss Katie Mullins
D,TC,Miss Laina Heikkinen
D,TC,Miss Laura Alice Cribb
D,TC,Miss Marcella Daly
D,TC,Miss Margaret Mannion
D,TC,Miss Margaret Murphy
D,TC,Miss Maria Baclini
D,TC,Miss Maria Nackid
D,TC,Miss Maria Osman
D,TC,Miss Mary Kelly
D,TC,Miss Mary Peter or Joseph
D,TC,Miss Nellie ODwyer
D,TC,Miss Nora Healy
D,TC,Miss Nora Murphy
D,TC,Miss Nora OLeary
D,TC,Miss Olga Elida Lundin
D,TC,Miss Sarah Roth
D,TC,Miss Velin Ohman
D,TC,Mr. Abraham Hyman
D,TC,Mr. Ali Lam
D,TC,Mr. Berk Pickard
D,TC,Mr. Bernard McCoy
D,TC,Mr. David Vartunian
D,TC,Mr. Erik Jussila
D,TC,Mr. Ernest Ulrik Persson
D,TC,Mr. Fang Lang
D,TC,Mr. Farnham Leeni
D,TC,Mr. Franz Karun
D,TC,Mr. Gurshon Gus Cohen
D,TC,Mr. Hanna John Moubarek or Borak
D,TC,Mr. Hanna Mamee
D,TC,Mr. Ivan Yalsevac
D,TC,Mr. Jean Sheerlinck
D,TC,Mr. Johan Julian Sundman
D,TC,Mr. John Kennedy
D,TC,Mr. Joseph Duquemin
D,TC,Mr. Juhho Stranden
D,TC,Mr. Jules Sop
D,TC,Mr. Lee Bing
D,TC,Mr. Luigi Finoli
D,TC,Mr. Nassef Belmenly Cassem
D,TC,Mr. Neshan Krekorian
D,TC,Mr. Nicola Lulich
D,TC,Mr. Oscar Headman
D,TC,Mr. Theo De Mulder
D,TC,Mr. Thure Edvin Lundstrom
D,TC,Mrs. Adolf Fredrik (Anna Elizabeth Judith Anderson) Dyker
D,TC,Mrs. Alexander (Helga E. ) Hirvonen
D,TC,Mrs. Antoni (Celiney Alexander) Yasbeck
D,TC,Mrs. Catherine Peter or Joseph
D,TC,Mrs. Ellen Wilkes
D,TC,Mrs. Fatima Masselmany
D,TC,Mrs. George (Amenia) Moubarek
D,TC,Mrs. Hedvig Turkula
D,TC,Mrs. Hugh (Mary) McGovern
D,TC,Mrs. Joseph (Sophie Easu) Abraham
D,TC,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom
D,TC,Mrs. Mantoura Baloics Moussa
D,TC,Mrs. Peter Claus (Jennie L. Howard) Hansen
